yyyymm,RetEx,signal,signal_RSI,signal_macd
187102,0.0089888503517123,0,0,0
187103,0.0201928155613652,0,0,0
187104,0.0235568341214345,0,0,0
187105,0.0216182746753971,0,0,0
187106,-0.0116039442831683,0,0,0
187107,-0.0219276219011106,0,1,0
187108,0.0089720497987094,0,1,0
187109,0.0058842329800467994,0,1,0
187110,-0.0586938986709229,0,0,0
187111,0.0044056879406981,0,0,0
187112,0.014577131772464301,0,0,0
187201,0.019552069322907997,0,0,0
187202,-0.0011030914784024995,1,0,0
187203,0.026786361118037,1,0,0
187204,0.021747736430591698,1,0,0
187205,-0.0049526628419594,1,0,0
187206,-0.0137196559148308,1,1,0
187207,-0.0102471681960598,1,1,0
187208,-0.0169830236982038,1,1,0
187209,-0.0248760110515913,1,1,0
187210,-0.0035688085404703,1,0,0
187211,-0.0122384604461754,1,0,0
187212,0.0166110737470591,1,1,0
187301,0.001401988104419099,1,1,0
187302,0.0012664373547376,1,1,0
187303,-0.0148744101436745,1,1,0
187304,-0.0217506010076795,1,1,0
187305,-0.0036474319022218003,1,0,0
187306,-0.0185410147018513,1,0,0
187307,-0.0063998678033693,1,0,0
187308,-0.004849352574335,1,0,0
187309,-0.0866359631769153,1,0,0
187310,-0.098961385833066,1,0,0
187311,-0.046139078041123,1,0,0
187312,0.0871881238427519,1,1,1
187401,0.0491688763760495,1,1,1
187402,0.0259757721926143,1,0,1
187403,-0.0187537898632788,1,1,1
187404,-0.031735772646292904,1,1,1
187405,-0.0299032064198293,1,1,0
187406,-0.008206742564073,1,1,1
187407,-0.0037793533739388,1,1,1
187408,-0.0014117527254557997,1,0,1
187409,0.0114083263741915,1,0,1
187410,-0.0061295826423512,1,0,1
187411,0.0050432893962861,1,1,1
187412,-0.0106316976846406,1,1,1
187501,-0.0035136984000473,1,1,1
187502,-0.0056720657428714,1,1,1
187503,0.0092516798985646,1,1,1
187504,0.0094179902330133,1,1,1
187505,-0.0417142037861103,1,0,0
187506,-0.023131375249844398,1,0,0
187507,-0.0005369387231665,1,0,0
187508,0.0012708687057289003,1,0,0
187509,-0.013056268693768202,1,0,0
187510,-0.0203142113482167,1,0,0
187511,0.011924130616738297,1,0,1
187512,-0.0045172838569706,1,0,1
187601,0.016203130000202,1,1,1
187602,0.0098801819595161,1,1,1
187603,-0.0058293980482027,1,1,1
187604,-0.041392194324574694,1,0,0
187605,-0.0402324717504456,1,0,0
187606,-0.0103217666513542,1,0,0
187607,-0.014499271275565901,1,0,0
187608,-0.043759527737190995,1,0,0
187609,-0.0642134354486078,1,0,0
187610,-0.0092436834034627,1,0,0
187611,-0.0227274746741121,1,0,0
187612,-0.0095341501599129,1,0,0
187701,-0.0121149658131133,1,0,1
187702,-0.0621151801152383,1,0,0
187703,-0.0538141783016058,1,0,0
187704,-0.07542690392712821,1,0,0
187705,-0.0025912852962575,1,0,0
187706,-0.0740641325538108,1,0,0
187707,0.041261448392162,1,0,1
187708,0.0663739473080614,1,0,1
187709,0.0579475221213399,1,0,1
187710,0.016615378905493798,1,0,1
187711,-0.019313093235366202,1,1,1
187712,-0.0068542173413457,1,1,1
187801,-0.0039564566898664,1,1,1
187802,-0.0250964357674907,1,1,1
187803,0.015450157091048598,1,1,1
187804,0.0241829070245968,1,1,1
187805,2.0614550738600086e-05,1,1,1
187806,0.0185070053278538,1,0,1
187807,0.0182317461344918,1,0,1
187808,-0.0110717681596538,1,1,1
187809,0.0172410528767264,1,1,1
187810,-0.01502492086029,1,1,0
187811,-0.0062913306556439,1,1,0
187812,-0.0091371803690782,1,1,0
187901,0.0348463570646317,1,1,1
187902,0.0338617706575295,1,1,1
187903,-0.0195459983468158,1,1,0
187904,0.029215427832113505,1,1,1
187905,0.042176863487495,1,1,1
187906,0.0023003742149640995,1,1,1
187907,0.0176845279540658,1,1,1
187908,0.0036832857244702,1,1,0
187909,0.032950235298982396,1,0,1
187910,0.1049818689031535,1,0,1
187911,0.0491671745357242,1,0,1
187912,-0.006058647304092399,1,1,1
188001,0.0350082568160204,0,1,1
188002,0.0140545502328102,0,1,0
188003,0.0155325882099638,0,1,0
188004,-0.0263396904547675,0,1,0
188005,-0.0826200017216446,0,0,0
188006,0.0011957250554754002,0,0,0
188007,0.0430130440803524,0,0,0
188008,0.0325767900187946,0,0,0
188009,-0.0054404806736505,0,0,0
188010,0.0255397615202758,0,0,0
188011,0.0488789278288146,0,1,1
188012,0.0369310712064845,0,1,1
188101,0.0564178084492678,0,1,1
188102,-0.0068406471334393,0,1,1
188103,0.0076101412556915,0,1,0
188104,-0.0066745507761937,0,1,0
188105,0.042380516045178604,0,1,1
188106,0.0100853722529507,0,1,0
188107,-0.037545692591090404,0,1,0
188108,-0.0269143664992322,0,1,0
188109,0.004226128316450901,0,1,0
188110,-0.0202516288830791,0,0,0
188111,0.0022155396334196005,0,0,0
188112,-0.0333307888184589,0,0,0
188201,-0.018673222618143,0,0,0
188202,-0.025635502565773703,0,0,0
188203,-0.0055286070051827,0,0,0
188204,-0.0033734916082713,0,0,0
188205,-0.015329252850433201,0,0,0
188206,-0.0086717078925947,0,0,0
188207,0.0532892259732769,0,1,1
188208,0.0261911294067399,0,1,1
188209,0.005088143739482499,0,1,1
188210,-0.0318051494295422,0,1,1
188211,-0.0472697194115802,0,1,0
188212,0.0011849165832502001,1,0,0
188301,-0.0088351673221752,1,0,0
188302,-0.0259848445091409,1,0,0
188303,0.007976383816098599,1,0,1
188304,0.016942625746846098,1,0,1
188305,-0.0206232665761189,1,0,1
188306,0.0049673302443594,1,0,1
188307,-0.018630788598795498,1,0,1
188308,-0.0491545715240261,1,0,0
188309,0.006901775127075601,1,0,0
188310,-0.0311919202225382,1,0,0
188311,0.0110315006632551,1,0,1
188312,-0.0256762029988273,1,0,0
188401,-0.0332105902426353,1,0,0
188402,0.0238822938684957,1,0,1
188403,-0.006808200691978,1,1,1
188404,-0.048405614111965,1,0,0
188405,-0.0844011595924608,1,0,0
188406,-0.0447428786953267,1,0,0
188407,-0.0040302497381696,1,0,0
188408,0.0590820880374906,1,1,1
188409,-0.0353437506410585,1,1,1
188410,-0.036377919582896594,1,1,1
188411,-0.0237396928413357,1,1,1
188412,-0.0056280663540019,1,1,1
188501,-0.0261419319839272,1,1,1
188502,0.027700126820717,1,1,1
188503,-0.0006497831038318998,1,0,1
188504,-0.0048522524045976,1,1,1
188505,-0.0137967951389412,1,1,1
188506,-0.006888846208522899,1,1,1
188507,0.0349869822708399,1,1,1
188508,0.0536986641175055,1,1,1
188509,-0.0151456561786842,1,1,1
188510,0.0554732308327745,1,1,1
188511,0.0621246756977127,1,1,1
188512,-0.010593838324033,1,1,1
188601,-0.0028200437459974,1,1,1
188602,0.0167132769828148,1,1,1
188603,-0.023250071314595302,1,1,0
188604,-0.016263243832236998,1,1,0
188605,-0.0221668111252395,1,1,0
188606,0.043336137343926405,1,1,0
188607,0.0126910857708196,1,1,0
188608,0.0040352678604542,1,1,0
188609,0.0221438240303857,1,1,1
188610,0.0212969263660473,1,1,1
188611,0.020770649238268,0,0,1
188612,-0.029951744099125703,0,0,0
188701,-0.0143364788931456,0,1,0
188702,-0.0103574677688752,0,1,0
188703,0.019878212522768498,0,1,0
188704,0.0193180602315147,0,1,0
188705,0.0137571981296188,0,1,1
188706,-0.0322387060641173,0,1,0
188707,-0.0286401628272213,0,1,0
188708,-0.0293701446505236,0,0,0
188709,-0.0176048376136188,0,0,0
188710,-0.0378048089165052,0,0,0
188711,0.0153481055892058,0,0,0
188712,-0.009727523620811699,0,0,0
188801,0.0038181587582159,0,0,1
188802,-0.0088682437209587,0,0,1
188803,-0.0413703483643443,0,0,0
188804,0.0003126199015136004,0,0,0
188805,0.010529101903734699,0,0,1
188806,-0.0337235435456422,0,0,0
188807,0.023297784057514998,0,0,1
188808,0.018543837939967802,0,0,1
188809,0.0212260684473664,0,0,1
188810,-0.0089570790915403,0,1,1
188811,-0.0237054808220827,0,1,1
188812,-0.0223910473304473,0,1,0
188901,0.0163843128080598,0,1,1
188902,0.0086746137623736,0,1,1
188903,-0.0237149675189054,0,0,0
188904,-0.00473206740994,0,0,0
188905,0.0245464313032243,0,1,1
188906,0.014414559594789,0,1,1
188907,-0.023219174679858498,0,1,0
188908,0.0097602625132369,0,1,1
188909,0.020672729793469,0,1,1
188910,-0.0222489644441392,0,1,0
188911,-0.0133264055215806,0,1,0
188912,-0.0097410366413079,0,1,0
189001,0.0076907040403712,0,1,0
189002,-0.0145037700506575,0,1,0
189003,-0.0112169780132865,0,1,0
189004,0.0174229452009103,0,1,1
189005,0.039298122491914396,0,1,1
189006,-0.0104466535017093,0,1,1
189007,-0.0105345710848029,0,1,1
189008,-0.0272302987353973,0,1,0
189009,-0.0205185231609717,0,1,0
189010,-0.049106135168905204,0,1,0
189011,-0.07745523979388641,0,0,0
189012,-0.0284031585605923,0,0,0
189101,0.048232214963272596,0,1,1
189102,0.009067478435586699,0,0,1
